filename,width,height,class,xmin,ymin,xmax,ymax
00005.jpg,1024,1024,fender,102,609,300,758
00005.jpg,1024,1024,fender,713,624,893,763
00005.jpg,1024,1024,hatchback,51,497,963,825
00006.jpg,1024,1024,wheel,161,730,263,836
00006.jpg,1024,1024,wheel,756,728,860,834
00006.jpg,1024,1024,dlo,331,536,827,644
00006.jpg,1024,1024,rearlamp,891,637,969,671
00006.jpg,1024,1024,rearbumper,840,682,990,809
00006.jpg,1024,1024,headlamp,43,691,91,721
00006.jpg,1024,1024,opening,40,756,66,793
00006.jpg,1024,1024,frontbumper,34,700,163,814
00006.jpg,1024,1024,bodysurface,289,624,779,796
00006.jpg,1024,1024,fender,120,653,315,790
00006.jpg,1024,1024,fender,704,634,918,790
00006.jpg,1024,1024,hatchback,34,519,990,850
00012.jpg,1024,1024,wheel,315,734,408,839
00012.jpg,1024,1024,wheel,738,737,816,824
00012.jpg,1024,1024,dlo,347,562,708,669
00012.jpg,1024,1024,spoiler,225,547,311,572
00012.jpg,1024,1024,rearlamp,210,633,291,661
00012.jpg,1024,1024,rearbumper,127,665,344,794
00012.jpg,1024,1024,bodysurface,434,631,732,797
00012.jpg,1024,1024,fender,285,622,451,774
00012.jpg,1024,1024,fender,730,675,840,782
00012.jpg,1024,1024,hatchback,128,549,852,854
00012.jpg,1024,1024,diffuser,126,698,223,783
00012.jpg,1024,1024,mirror,666,633,698,666
00013.jpg,1024,1024,wheel,539,661,610,810
00013.jpg,1024,1024,wheel,789,587,868,693
00013.jpg,1024,1024,mirror,721,472,775,510
00013.jpg,1024,1024,dlo,477,414,760,517
00013.jpg,1024,1024,rearlamp,328,552,464,604
00013.jpg,1024,1024,rearlamp,89,584,128,625
00013.jpg,1024,1024,rearbumper,76,627,551,789
00013.jpg,1024,1024,diffuser,80,705,429,788
00013.jpg,1024,1024,fender,777,509,861,621
00013.jpg,1024,1024,fender,466,517,637,708
00013.jpg,1024,1024,bodysurface,606,513,809,674
00013.jpg,1024,1024,hatchback,77,406,876,843
00013.jpg,1024,1024,spoiler,164,432,424,488
00015.jpg,1024,1024,wheel,539,661,610,810
00015.jpg,1024,1024,wheel,789,587,868,693
00015.jpg,1024,1024,mirror,721,472,775,510
00015.jpg,1024,1024,dlo,477,414,760,517
00015.jpg,1024,1024,dlo,125,454,419,572
00015.jpg,1024,1024,rearlamp,328,552,464,604
00015.jpg,1024,1024,rearlamp,89,584,128,625
00015.jpg,1024,1024,rearbumper,76,627,551,789
00015.jpg,1024,1024,diffuser,80,705,429,788
00015.jpg,1024,1024,fender,777,509,861,621
00015.jpg,1024,1024,fender,466,517,637,708
00015.jpg,1024,1024,bodysurface,606,513,809,674
00015.jpg,1024,1024,hatchback,77,406,876,843
00015.jpg,1024,1024,spoiler,164,432,424,488
00018.jpg,1024,1024,wheel,505,646,554,778
00018.jpg,1024,1024,wheel,714,647,751,772
00018.jpg,1024,1024,dlo,549,426,721,540
00018.jpg,1024,1024,headlamp,319,609,445,645
00018.jpg,1024,1024,headlamp,41,618,127,651
00018.jpg,1024,1024,grill,176,615,251,713
00018.jpg,1024,1024,aero,333,693,430,731
00018.jpg,1024,1024,aero,38,700,118,735
00018.jpg,1024,1024,frontbumper,35,616,510,753
00018.jpg,1024,1024,fender,485,553,573,691
00018.jpg,1024,1024,fender,690,520,761,670
00018.jpg,1024,1024,mirror,553,501,627,541
00018.jpg,1024,1024,hood,85,529,522,630
00018.jpg,1024,1024,wagon,35,410,761,831
00018.jpg,1024,1024,bodysurface,565,520,705,710
00018.jpg,1024,1024,opening,107,698,331,737
00018.jpg,1024,1024,opening,272,616,331,647
00018.jpg,1024,1024,opening,118,622,166,650
00019.jpg,1024,1024,headlamp,485,513,664,563
00019.jpg,1024,1024,headlamp,911,530,1001,576
00019.jpg,1024,1024,grill,758,521,850,652
00019.jpg,1024,1024,aero,514,629,651,678
00019.jpg,1024,1024,aero,919,635,1009,689
00019.jpg,1024,1024,frontbumper,384,513,1010,721
00019.jpg,1024,1024,dlo,60,335,302,481
00019.jpg,1024,1024,bodysurface,90,453,282,680
00019.jpg,1024,1024,hood,360,435,958,536
00019.jpg,1024,1024,opening,654,628,932,688
00019.jpg,1024,1024,opening,645,523,734,565
00019.jpg,1024,1024,opening,862,537,915,571
00019.jpg,1024,1024,wheel,301,587,437,767
00019.jpg,1024,1024,wheel,28,628,76,779
00019.jpg,1024,1024,fender,284,452,443,660
00019.jpg,1024,1024,fender,15,471,109,649
00019.jpg,1024,1024,wagon,11,318,1011,803
00019.jpg,1024,1024,mirror,209,409,310,456
00029.jpg,1024,1024,wheel,798,695,916,811
00029.jpg,1024,1024,wheel,171,695,288,813
00029.jpg,1024,1024,dlo,352,512,817,614
00029.jpg,1024,1024,bodysurface,359,589,757,766
00029.jpg,1024,1024,fender,132,614,336,751
00029.jpg,1024,1024,fender,749,593,975,738
00029.jpg,1024,1024,frontbumper,10,688,182,817
00029.jpg,1024,1024,headlamp,37,675,71,705
00029.jpg,1024,1024,sedan,12,507,1023,821
00029.jpg,1024,1024,opening,13,750,65,783
00029.jpg,1024,1024,foglamp,51,746,109,784
00029.jpg,1024,1024,rocker,319,755,769,798
00033.jpg,1024,1024,dlo,654,393,892,521
00033.jpg,1024,1024,bodysurface,659,490,883,682
00033.jpg,1024,1024,wheel,913,596,972,721
00033.jpg,1024,1024,wheel,528,635,645,773
00033.jpg,1024,1024,headlamp,347,602,479,643
00033.jpg,1024,1024,headlamp,110,604,168,644
00033.jpg,1024,1024,grill,212,613,277,710
00033.jpg,1024,1024,opening,300,614,363,644
00033.jpg,1024,1024,opening,167,612,204,646
00033.jpg,1024,1024,opening,155,693,353,734
00033.jpg,1024,1024,foglamp,356,693,426,727
00033.jpg,1024,1024,foglamp,127,692,162,727
00033.jpg,1024,1024,opening,105,689,136,726
00033.jpg,1024,1024,opening,418,693,457,726
00033.jpg,1024,1024,frontbumper,105,615,564,753
00033.jpg,1024,1024,fender,879,479,985,611
00033.jpg,1024,1024,fender,505,530,670,675
00033.jpg,1024,1024,hood,144,511,615,623
00033.jpg,1024,1024,sedan,106,378,1002,793
00043.jpg,1024,1024,dlo,124,394,690,494
00043.jpg,1024,1024,mirror,626,460,692,495
00043.jpg,1024,1024,wheel,764,586,857,681
00043.jpg,1024,1024,wheel,177,574,272,672
00043.jpg,1024,1024,headlamp,950,545,975,576
00043.jpg,1024,1024,rearlamp,56,486,73,510
00043.jpg,1024,1024,rearbumper,46,531,186,645
00043.jpg,1024,1024,frontbumper,859,563,987,665
00043.jpg,1024,1024,opening,958,618,972,642
00043.jpg,1024,1024,bodysurface,303,470,727,651
00043.jpg,1024,1024,fender,712,495,910,628
00043.jpg,1024,1024,fender,117,469,343,619
00043.jpg,1024,1024,wagon,47,379,986,703
00043.jpg,1024,1024,spoiler,143,389,201,402
00044.jpg,1024,1024,headlamp,650,651,764,699
00044.jpg,1024,1024,headlamp,908,557,945,615
00044.jpg,1024,1024,grill,814,602,874,702
00044.jpg,1024,1024,foglamp,690,757,752,788
00044.jpg,1024,1024,opening,751,628,825,667
00044.jpg,1024,1024,opening,872,587,909,631
00044.jpg,1024,1024,wheel,444,652,523,782
00044.jpg,1024,1024,wheel,101,473,145,568
00044.jpg,1024,1024,hood,443,420,921,649
00044.jpg,1024,1024,frontbumper,523,592,959,799
00044.jpg,1024,1024,fender,399,506,580,735
00044.jpg,1024,1024,fender,81,351,177,542
00044.jpg,1024,1024,bodysurface,163,385,414,696
00044.jpg,1024,1024,dlo,99,297,401,500
00044.jpg,1024,1024,spoiler,140,256,334,283
00044.jpg,1024,1024,wagon,65,259,959,807
00044.jpg,1024,1024,mirror,305,446,399,499
00049.jpg,1024,1024,wheel,517,548,618,679
00049.jpg,1024,1024,wheel,86,474,184,587
00049.jpg,1024,1024,rearlamp,706,472,836,501
00049.jpg,1024,1024,rearlamp,917,441,951,475
00049.jpg,1024,1024,rearbumper,602,497,963,647
00049.jpg,1024,1024,dlo,223,329,568,438
00049.jpg,1024,1024,mirror,223,385,266,417
00049.jpg,1024,1024,bodysurface,201,408,498,606
00049.jpg,1024,1024,fender,488,432,676,595
00049.jpg,1024,1024,fender,68,410,206,532
00049.jpg,1024,1024,sedan,56,304,963,693
00049.jpg,1024,1024,diffuser,667,581,945,647
00053.jpg,1024,1024,wheel,286,591,436,779
00053.jpg,1024,1024,wheel,14,567,66,727
00053.jpg,1024,1024,grill,757,570,852,708
00053.jpg,1024,1024,headlamp,498,559,655,613
00053.jpg,1024,1024,headlamp,894,567,995,613
00053.jpg,1024,1024,opening,648,573,737,617
00053.jpg,1024,1024,opening,859,579,908,614
00053.jpg,1024,1024,opening,599,668,783,718
00053.jpg,1024,1024,opening,820,669,953,720
00053.jpg,1024,1024,foglamp,532,666,613,717
00053.jpg,1024,1024,foglamp,938,672,992,720
00053.jpg,1024,1024,frontbumper,369,560,1006,759
00053.jpg,1024,1024,hood,345,441,991,589
00053.jpg,1024,1024,bodysurface,101,429,272,688
00053.jpg,1024,1024,fender,278,470,440,695
00053.jpg,1024,1024,fender,11,430,112,651
00053.jpg,1024,1024,dlo,102,319,317,469
00053.jpg,1024,1024,mirror,207,400,313,469
00053.jpg,1024,1024,sedan,10,306,1010,807
00055.jpg,1024,1024,wheel,426,616,586,784
00055.jpg,1024,1024,wheel,924,490,979,608
00055.jpg,1024,1024,headlamp,194,615,312,660
00055.jpg,1024,1024,opening,118,620,201,656
00055.jpg,1024,1024,grill,49,604,101,729
00055.jpg,1024,1024,opening,84,701,224,756
00055.jpg,1024,1024,opening,34,673,66,728
00055.jpg,1024,1024,headlamp,34,567,39,611
00055.jpg,1024,1024,frontbumper,19,574,480,778
00055.jpg,1024,1024,mirror,615,410,728,476
00055.jpg,1024,1024,hood,34,440,575,632
00055.jpg,1024,1024,fender,885,389,993,563
00055.jpg,1024,1024,fender,394,488,635,715
00055.jpg,1024,1024,bodysurface,599,397,899,607
00055.jpg,1024,1024,dlo,610,316,898,478
00055.jpg,1024,1024,foglamp,226,716,276,761
00055.jpg,1024,1024,sedan,21,301,998,804
00057.jpg,1024,1024,wheel,426,650,556,806
00057.jpg,1024,1024,wheel,42,692,117,840
00057.jpg,1024,1024,dlo,132,435,406,558
00057.jpg,1024,1024,headlamp,615,606,738,644
00057.jpg,1024,1024,headlamp,928,582,1002,625
00057.jpg,1024,1024,grill,823,596,895,705
00057.jpg,1024,1024,opening,727,606,811,639
00057.jpg,1024,1024,opening,899,598,935,631
00057.jpg,1024,1024,opening,703,681,851,725
00057.jpg,1024,1024,opening,885,670,974,713
00057.jpg,1024,1024,foglamp,653,686,721,729
00057.jpg,1024,1024,foglamp,975,667,1010,709
00057.jpg,1024,1024,hood,438,523,994,612
00057.jpg,1024,1024,frontbumper,485,584,1012,762
00057.jpg,1024,1024,bodysurface,112,555,433,754
00057.jpg,1024,1024,fender,399,552,598,728
00057.jpg,1024,1024,fender,23,578,161,750
00057.jpg,1024,1024,sedan,12,408,1011,863
00062.jpg,1024,1024,wheel,152,732,264,844
00062.jpg,1024,1024,wheel,752,736,864,848
00062.jpg,1024,1024,rearlamp,938,645,999,673
00062.jpg,1024,1024,headlamp,41,712,66,738
00062.jpg,1024,1024,dlo,330,560,884,659
00062.jpg,1024,1024,rearbumper,847,691,1014,816
00062.jpg,1024,1024,diffuser,913,773,1007,817
00062.jpg,1024,1024,spoiler,883,565,918,580
00062.jpg,1024,1024,opening,20,773,41,798
00062.jpg,1024,1024,foglamp,36,771,46,800
00062.jpg,1024,1024,frontbumper,17,712,166,830
00062.jpg,1024,1024,bodysurface,316,637,719,796
00062.jpg,1024,1024,fender,709,636,907,771
00062.jpg,1024,1024,fender,90,659,313,786
00062.jpg,1024,1024,wagon,19,553,1013,864
00065.jpg,1024,1024,wheel,194,678,312,796
00065.jpg,1024,1024,wheel,768,670,875,785
00065.jpg,1024,1024,dlo,170,507,716,601
00065.jpg,1024,1024,frontbumper,883,650,1002,762
00065.jpg,1024,1024,headlamp,968,647,981,673
00065.jpg,1024,1024,rocker,333,734,758,769
00065.jpg,1024,1024,rearbumper,28,653,202,761
00065.jpg,1024,1024,diffuser,34,722,143,763
00065.jpg,1024,1024,rearlamp,49,600,117,624
00065.jpg,1024,1024,dlo,56,527,152,590
00065.jpg,1024,1024,spoiler,120,512,164,530
00065.jpg,1024,1024,bodysurface,334,587,737,745
00065.jpg,1024,1024,mirror,638,559,710,601
00065.jpg,1024,1024,fender,718,601,945,727
00065.jpg,1024,1024,fender,131,600,370,734
00065.jpg,1024,1024,wagon,26,496,1002,813
00066.jpg,1024,1024,wheel,384,699,462,794
00066.jpg,1024,1024,wheel,824,695,888,782
00066.jpg,1024,1024,headlamp,218,657,297,687
00066.jpg,1024,1024,headlamp,90,653,129,685
00066.jpg,1024,1024,dlo,531,525,831,620
00066.jpg,1024,1024,grill,152,649,192,689
00066.jpg,1024,1024,opening,172,672,222,689
00066.jpg,1024,1024,opening,122,670,157,688
00066.jpg,1024,1024,opening,128,732,221,755
00066.jpg,1024,1024,frontbumper,80,658,375,774
00066.jpg,1024,1024,sedan,81,513,987,813
00066.jpg,1024,1024,bodysurface,509,611,813,736
00066.jpg,1024,1024,fender,804,616,920,712
00066.jpg,1024,1024,fender,352,628,503,727
00066.jpg,1024,1024,hood,105,604,505,672
00068.jpg,1024,1024,wheel,381,596,459,750
00068.jpg,1024,1024,wheel,26,614,111,738
00068.jpg,1024,1024,rearlamp,594,446,770,487
00068.jpg,1024,1024,rearlamp,891,450,994,488
00068.jpg,1024,1024,dlo,141,362,436,516
00068.jpg,1024,1024,rearbumper,442,523,1010,712
00068.jpg,1024,1024,diffuser,588,599,992,709
00068.jpg,1024,1024,bodysurface,117,465,367,703
00068.jpg,1024,1024,mirror,112,472,171,515
00068.jpg,1024,1024,fender,360,467,500,652
00068.jpg,1024,1024,fender,25,542,111,658
00068.jpg,1024,1024,sedan,11,350,1011,776
00073.jpg,1024,1024,wheel,322,584,425,697
00073.jpg,1024,1024,wheel,888,578,968,683
00073.jpg,1024,1024,rearlamp,22,477,51,504
00073.jpg,1024,1024,rearlamp,90,473,174,503
00073.jpg,1024,1024,dlo,385,384,815,496
00073.jpg,1024,1024,bodysurface,451,468,845,639
00073.jpg,1024,1024,rearbumper,5,532,342,669
00073.jpg,1024,1024,fender,846,496,1014,616
00073.jpg,1024,1024,fender,263,464,469,616
00073.jpg,1024,1024,sedan,9,379,1023,719
00073.jpg,1024,1024,mirror,754,451,813,495
00074.jpg,1024,1024,mirror,540,536,619,575
00074.jpg,1024,1024,wheel,416,662,499,774
00074.jpg,1024,1024,wheel,838,661,897,758
00074.jpg,1024,1024,headlamp,228,632,308,658
00074.jpg,1024,1024,headlamp,63,631,93,655
00074.jpg,1024,1024,grill,135,623,186,665
00074.jpg,1024,1024,opening,178,633,247,657
00074.jpg,1024,1024,opening,92,632,130,657
00074.jpg,1024,1024,opening,88,698,226,728
00074.jpg,1024,1024,foglamp,226,701,273,730
00074.jpg,1024,1024,foglamp,67,696,99,724
00074.jpg,1024,1024,frontbumper,56,634,417,746
00074.jpg,1024,1024,bodysurface,539,565,809,713
00074.jpg,1024,1024,hood,76,562,516,635
00074.jpg,1024,1024,dlo,541,482,829,574
00074.jpg,1024,1024,fender,803,566,934,690
00074.jpg,1024,1024,fender,363,582,541,710
00074.jpg,1024,1024,sedan,56,479,959,792
00079.jpg,1024,1024,wheel,604,662,670,817
00079.jpg,1024,1024,wheel,901,618,988,740
00079.jpg,1024,1024,mirror,825,465,898,517
00079.jpg,1024,1024,rearlamp,266,530,459,573
00079.jpg,1024,1024,rearlamp,2,538,126,577
00079.jpg,1024,1024,rearbumper,1,612,620,796
00079.jpg,1024,1024,bodysurface,676,502,905,734
00079.jpg,1024,1024,dlo,600,388,867,513
00079.jpg,1024,1024,fender,527,519,696,709
00079.jpg,1024,1024,fender,885,522,991,637
00079.jpg,1024,1024,diffuser,3,734,567,799
00079.jpg,1024,1024,sedan,1,382,1003,852
00084.jpg,1024,1024,wheel,297,599,352,780
00084.jpg,1024,1024,wheel,24,554,131,716
00084.jpg,1024,1024,rearlamp,472,468,670,511
00084.jpg,1024,1024,rearlamp,831,479,988,524
00084.jpg,1024,1024,dlo,151,316,385,453
00084.jpg,1024,1024,mirror,107,404,179,455
00084.jpg,1024,1024,rearbumper,339,558,999,754
00084.jpg,1024,1024,diffuser,391,671,985,750
00084.jpg,1024,1024,bodysurface,103,442,296,695
00084.jpg,1024,1024,fender,291,452,410,676
00084.jpg,1024,1024,fender,50,469,121,626
00084.jpg,1024,1024,sedan,17,309,998,814
00085.jpg,1024,1024,wheel,544,621,676,793
00085.jpg,1024,1024,wheel,915,602,968,751
00085.jpg,1024,1024,mirror,692,455,794,507
00085.jpg,1024,1024,headlamp,348,561,506,611
00085.jpg,1024,1024,headlamp,29,504,115,560
00085.jpg,1024,1024,grill,176,541,262,658
00085.jpg,1024,1024,opening,298,562,379,596
00085.jpg,1024,1024,opening,114,524,154,568
00085.jpg,1024,1024,opening,211,643,396,720
00085.jpg,1024,1024,opening,60,624,189,689
00085.jpg,1024,1024,foglamp,380,675,425,723
00085.jpg,1024,1024,foglamp,33,621,68,664
00085.jpg,1024,1024,aero,422,684,458,727
00085.jpg,1024,1024,aero,18,621,34,660
00085.jpg,1024,1024,bodysurface,690,474,895,708
00085.jpg,1024,1024,fender,892,480,996,617
00085.jpg,1024,1024,fender,551,518,704,686
00085.jpg,1024,1024,dlo,691,352,917,507
00085.jpg,1024,1024,hood,72,426,663,570
00085.jpg,1024,1024,frontbumper,12,540,610,743
00085.jpg,1024,1024,sedan,11,303,1007,810
00087.jpg,1024,1024,wheel,602,617,691,802
00087.jpg,1024,1024,wheel,945,563,985,684
00087.jpg,1024,1024,mirror,729,449,828,499
00087.jpg,1024,1024,headlamp,385,563,600,629
00087.jpg,1024,1024,headlamp,130,536,173,604
00087.jpg,1024,1024,grill,192,593,286,749
00087.jpg,1024,1024,opening,349,684,457,752
00087.jpg,1024,1024,opening,127,644,173,716
00087.jpg,1024,1024,foglamp,444,684,519,753
00087.jpg,1024,1024,foglamp,115,636,135,699
00087.jpg,1024,1024,frontbumper,112,567,648,791
00087.jpg,1024,1024,dlo,723,388,913,499
00087.jpg,1024,1024,bodysurface,712,465,923,688
00087.jpg,1024,1024,fender,890,467,1006,571
00087.jpg,1024,1024,fender,542,525,734,704
00087.jpg,1024,1024,hood,167,476,692,628
00087.jpg,1024,1024,sedan,110,371,1003,823
00092.jpg,1024,1024,wheel,676,590,823,738
00092.jpg,1024,1024,wheel,60,584,180,720
00092.jpg,1024,1024,headlamp,913,599,981,620
00092.jpg,1024,1024,grill,983,608,1011,681
00092.jpg,1024,1024,bodysurface,206,513,645,690
00092.jpg,1024,1024,fender,611,513,903,668
00092.jpg,1024,1024,fender,33,514,233,649
00092.jpg,1024,1024,frontbumper,820,588,1011,718
00092.jpg,1024,1024,spoiler,17,522,96,542
00092.jpg,1024,1024,coupe-convertible,3,428,1011,753
00092.jpg,1024,1024,mirror,414,487,474,527
00092.jpg,1024,1024,aero,161,467,277,514
00094.jpg,1024,1024,wheel,591,530,715,674
00094.jpg,1024,1024,wheel,50,541,170,676
00094.jpg,1024,1024,diffuser,781,561,992,645
00094.jpg,1024,1024,rearbumper,697,513,1009,644
00094.jpg,1024,1024,bodysurface,190,446,571,638
00094.jpg,1024,1024,rearlamp,791,466,907,484
00094.jpg,1024,1024,spoiler,726,453,999,493
00094.jpg,1024,1024,aero,586,408,711,455
00094.jpg,1024,1024,fender,545,464,779,604
00094.jpg,1024,1024,fender,18,476,206,613
00094.jpg,1024,1024,coupe-convertible,14,376,1012,689
00094.jpg,1024,1024,mirror,340,442,365,478
00101.jpg,1024,1024,wheel,776,694,871,791
00101.jpg,1024,1024,wheel,253,692,329,772
00101.jpg,1024,1024,dlo,395,581,665,653
00101.jpg,1024,1024,aero,868,662,981,736
00101.jpg,1024,1024,aero,320,655,388,720
00101.jpg,1024,1024,aero,640,641,664,706
00101.jpg,1024,1024,bodysurface,416,642,632,760
00101.jpg,1024,1024,fender,708,610,918,725
00101.jpg,1024,1024,fender,217,636,380,734
00101.jpg,1024,1024,sports,179,574,993,810
00101.jpg,1024,1024,mirror,297,614,324,636
00101.jpg,1024,1024,mirror,395,620,414,634
00102.jpg,1024,1024,dlo,661,207,862,370
00102.jpg,1024,1024,aero,871,313,929,402
00102.jpg,1024,1024,aero,721,450,790,555
00102.jpg,1024,1024,headlamp,283,561,530,759
00102.jpg,1024,1024,headlamp,9,454,104,640
00102.jpg,1024,1024,grill,73,682,131,768
00102.jpg,1024,1024,fender,883,244,1002,412
00102.jpg,1024,1024,fender,484,416,788,636
00102.jpg,1024,1024,fender,45,351,343,480
00102.jpg,1024,1024,sports,11,200,1001,810
00103.jpg,1024,1024,aero,738,285,785,343
00103.jpg,1024,1024,headlamp,302,335,455,437
00103.jpg,1024,1024,headlamp,102,331,173,423
00103.jpg,1024,1024,grill,163,424,206,483
00103.jpg,1024,1024,opening,115,428,300,475
00103.jpg,1024,1024,opening,585,313,645,387
00103.jpg,1024,1024,dlo,587,208,726,295
00103.jpg,1024,1024,mirror,543,266,584,291
00103.jpg,1024,1024,mirror,223,270,261,296
00103.jpg,1024,1024,fender,446,293,642,377
00103.jpg,1024,1024,fender,144,291,296,342
00103.jpg,1024,1024,fender,754,251,866,346
00103.jpg,1024,1024,bodysurface,647,294,802,383
00103.jpg,1024,1024,sports,103,208,867,523
00103.jpg,1024,1024,wheel,541,364,600,484
00103.jpg,1024,1024,wheel,826,334,853,409
00106.jpg,1024,1024,grill,619,553,700,641
00106.jpg,1024,1024,opening,686,577,796,641
00106.jpg,1024,1024,opening,506,591,640,645
00106.jpg,1024,1024,aero,461,592,531,641
00106.jpg,1024,1024,aero,782,579,827,630
00106.jpg,1024,1024,headlamp,770,467,832,536
00106.jpg,1024,1024,headlamp,389,481,476,552
00106.jpg,1024,1024,hood,393,468,793,544
00106.jpg,1024,1024,frontbumper,357,527,862,670
00106.jpg,1024,1024,mirror,261,454,318,526
00106.jpg,1024,1024,mirror,753,434,803,466
00106.jpg,1024,1024,aero,235,457,275,557
00106.jpg,1024,1024,bodysurface,245,483,331,659
00106.jpg,1024,1024,fender,166,448,254,591
00106.jpg,1024,1024,fender,326,479,443,623
00106.jpg,1024,1024,dlo,303,379,724,476
00106.jpg,1024,1024,wheel,340,556,361,699
00106.jpg,1024,1024,wheel,173,542,209,683
00106.jpg,1024,1024,rocker,223,626,344,668
00106.jpg,1024,1024,sports,168,362,860,713
00112.jpg,1024,1024,headlamp,586,487,709,581
00112.jpg,1024,1024,headlamp,163,480,237,570
00112.jpg,1024,1024,grill,298,589,409,704
00112.jpg,1024,1024,opening,402,640,555,688
00112.jpg,1024,1024,opening,189,627,299,681
00112.jpg,1024,1024,aero,399,641,619,704
00112.jpg,1024,1024,aero,151,626,303,701
00112.jpg,1024,1024,wheel,739,572,780,746
00112.jpg,1024,1024,wheel,899,555,925,697
00112.jpg,1024,1024,aero,812,474,857,551
00112.jpg,1024,1024,mirror,764,457,857,489
00112.jpg,1024,1024,mirror,261,452,314,478
00112.jpg,1024,1024,hood,236,473,693,631
00112.jpg,1024,1024,dlo,331,386,781,483
00112.jpg,1024,1024,fender,802,452,921,595
00112.jpg,1024,1024,fender,652,475,797,625
00112.jpg,1024,1024,bodysurface,766,485,873,672
00112.jpg,1024,1024,fender,143,473,286,559
00112.jpg,1024,1024,sports,127,373,927,774
00117.jpg,1024,1024,headlamp,610,563,748,601
00117.jpg,1024,1024,headlamp,869,551,917,590
00117.jpg,1024,1024,grill,732,590,916,649
00117.jpg,1024,1024,spoiler,693,656,924,712
00117.jpg,1024,1024,hood,442,514,892,594
00117.jpg,1024,1024,frontbumper,560,589,924,712
00117.jpg,1024,1024,wheel,473,594,580,730
00117.jpg,1024,1024,wheel,137,595,194,703
00117.jpg,1024,1024,rocker,208,630,474,706
00117.jpg,1024,1024,aero,408,560,467,585
00117.jpg,1024,1024,mirror,310,492,420,529
00117.jpg,1024,1024,dlo,237,462,420,527
00117.jpg,1024,1024,spoiler,156,509,193,524
00117.jpg,1024,1024,bodysurface,222,519,453,691
00117.jpg,1024,1024,fender,446,527,628,669
00117.jpg,1024,1024,fender,125,525,253,641
00117.jpg,1024,1024,coupe,122,444,923,745
00120.jpg,1024,1024,wheel,338,574,428,768
00120.jpg,1024,1024,wheel,16,521,107,665
00120.jpg,1024,1024,rearlamp,509,500,702,555
00120.jpg,1024,1024,rearlamp,958,485,1009,539
00120.jpg,1024,1024,dlo,166,364,464,455
00120.jpg,1024,1024,mirror,136,410,185,467
00120.jpg,1024,1024,aero,83,501,149,536
00120.jpg,1024,1024,rocker,100,645,338,710
00120.jpg,1024,1024,spoiler,524,448,990,500
00120.jpg,1024,1024,rearbumper,408,504,1011,728
00120.jpg,1024,1024,diffuser,452,610,1011,729
00120.jpg,1024,1024,bodysurface,117,452,333,697
00120.jpg,1024,1024,fender,308,454,549,618
00120.jpg,1024,1024,fender,22,454,149,586
00120.jpg,1024,1024,coupe,11,339,1011,789
00121.jpg,1024,1024,dlo,342,538,790,607
00121.jpg,1024,1024,wheel,774,663,896,790
00121.jpg,1024,1024,wheel,152,671,279,797
